name,year,quarter,prs_count,issues_count
Scheme,2015,2,474,215.0
VimL,2015,2,442,582.0
MATLAB,2015,2,405,705.0
ApacheConf,2015,2,390,258.0
D,2015,2,380,709.0
Vala,2015,2,380,655.0
AutoIt,2015,2,355,120.0
QML,2015,2,353,747.0
Smalltalk,2015,2,332,897.0
PLpgSQL,2015,2,329,904.0
ActionScript,2015,2,302,609.0
PLSQL,2015,2,283,346.0
Common Lisp,2015,2,277,505.0
ooc,2015,2,273,
Matlab,2015,2,271,596.0
Apex,2015,2,269,448.0
Perl 6,2015,2,265,
SQF,2015,2,265,519.0
Assembly,2015,2,254,351.0
Objective-C++,2015,2,250,
HCL,2015,2,247,
Mustache,2015,2,247,
Perl6,2015,2,215,
Racket,2015,2,205,159.0
Gherkin,2015,2,205,103.0
Standard ML,2015,2,196,203.0
Elm,2015,2,183,249.0
Pascal,2015,2,172,619.0
Groff,2015,2,165,
PostScript,2015,2,163,127.0
Raku,2015,2,157,
Cuda,2015,2,151,138.0
GDScript,2015,2,143,147.0
Protocol Buffer,2015,2,136,105.0
ColdFusion,2015,2,129,184.0
Verilog,2015,2,119,
Jsonnet,2015,2,116,
Arduino,2015,2,115,176.0
SQLPL,2015,2,114,
GCC Machine Description,2015,2,113,
JavaScript,2015,3,217971,271532.0
Python,2015,3,158188,129702.0
Java,2015,3,106372,113249.0
Ruby,2015,3,103950,54521.0
PHP,2015,3,86688,88872.0
Go,2015,3,51552,39090.0
C++,2015,3,47984,52891.0
HTML,2015,3,45419,34773.0
C#,2015,3,33214,41701.0
C,2015,3,30865,28871.0
Shell,2015,3,25053,18094.0
CSS,2015,3,24588,19055.0
TypeScript,2015,3,18350,21894.0
Scala,2015,3,16127,11573.0
Objective-C,2015,3,14562,18906.0
Swift,2015,3,10089,10110.0
CoffeeScript,2015,3,8613,13997.0
Rust,2015,3,6808,4298.0
Clojure,2015,3,4907,3872.0
Lua,2015,3,4095,5611.0
Haskell,2015,3,3769,4151.0
Erlang,2015,3,3696,2520.0
Perl,2015,3,3667,3339.0
DM,2015,3,3306,2138.0
Jupyter Notebook,2015,3,3225,2248.0
Groovy,2015,3,2865,3104.0
PowerShell,2015,3,2538,1625.0
Nix,2015,3,2511,726.0
Kotlin,2015,3,2500,4228.0
Elixir,2015,3,2437,2196.0
R,2015,3,2307,3231.0
Julia,2015,3,2239,1926.0
Emacs Lisp,2015,3,2163,3709.0
Puppet,2015,3,1994,654.0
Makefile,2015,3,1925,1578.0
Dart,2015,3,1457,3688.0
ApacheConf,2015,3,1320,444.0
YAML,2015,3,1284,
OCaml,2015,3,1237,1335.0
Visual Basic,2015,3,1232,850.0
